Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Statistik als Exceldatei,,,
,Anzahl der ausländischen Straftatverdächtigen in Deutschland nach Straftatengruppen im Jahr 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,, Bei Delikten gegen strafrechtliche Nebengesetze in Deutschland wurden im Jahr 2024 rund 330.000 ausländische Straftatverdächtige von der Polizei ermittelt; vor allem mit Bezug auf Ausländergesetze. Damit waren dies die häufigsten Straftaten von Ausländern; gefolgt von Rohheits- und Freiheitsdelikten mit circa 246.000. Insgesamt gab es etwa 913.000 ausländische Tatverdächtige.** 
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,inkl. Tatversuche,,
,Hinweis," * Bei diesen Straftatengruppen handelt es sich um nach weiteren Kriterien erstellte Zusammenfassungen von Straftaten, die teilweise auch bereits in anderen gezeigten Kategorien erfasst sind. ** Aufgrund der Zählung einzelner Straftaten in mehreren dieser Gruppen und der Mehrfachzählung eines einzelnen Tatverdächtigen bei verschiedenen von ihm begangenen Straftaten können die gezeigten Werte nicht zur Gesamtzahl der Tatverdächtigen addiert werden. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Bundeskriminalamt,,
,Veröffentlichungsdatum,April 2025,,
,Herkunftsverweis,Polizeiliche Kriminalstatistik (PKS) 2024 - Zeitreihen - Grundtabelle Fälle,,
,ID,558217,,
,,,,
,Ausländische Straftatverdächtige in Deutschland nach Straftatengruppen 2024,,,
,Anzahl der ausländischen Straftatverdächtigen in Deutschland nach Straftatengruppen im Jahr 2024,,,
,,,,
,Strafrechtliche Nebengesetze (v.a. Ausländergesetze),"330,141",,
,Rohheitsdelikte und Straftaten gegen die persönliche Freiheit,"245,772",,
,Diebstahlsdelikte,"181,640",,
,Vermögens- und Fälschungsdelikte,"180,955",,
,Sonstige Straftatbestände (StGB),"145,343",,
,Gewaltkriminalität*,"85,012",,
,Straßenkriminalität*,"75,176",,
,Rauschgiftkriminalität*,"59,884",,
,Straftaten gegen die sexuelle Selbstbestimmung,"27,407",,
,Straftaten gegen das Leben,"1,490",,
